English,Russian
the,а
I,я
to,к
and,и
a,а
of,из
was,был
he,он
you,ты
it,это
in,в
her,ее
she,она
that,что
my,мой
his,его
me,мне
on,на
with,с
at,в
as,как
had,имел
for,для
but,но
him,ему
said,сказал
be,быть
up,вверх
out,вне
look,смотреть
so,так
have,иметь
what,что
not,нет
just,только
like,нравиться
go,идти
they,они
is,является
this,этот
from,от
all,все
we,мы
were,были
back,назад
do,делать
one,один
about,о
know,знать
if,если
when,когда
get,получать
then,затем
into,в
would,бы
no,нет
I'm,Я
could,мог
don't,не
ask,просить
down,вниз
time,время
didn't,не
want,хотеть
eye,глаз
them,их
over,над
your,твой
are,являются
or,или
been,был
now,сейчас
an,атмосфера
by,к
think,думать
see,видеть
hand,рука
it's,его
say,сказать
how,как
around,вокруг
head,голова
did,делал
well,хорошо
before,до
off,выключенный
who,ВОЗ
more,более
even,даже
turn,повернуть
come,приходить
smile,улыбка
way,способ
really,Действительно
can,может
face,лицо
other,другой
some,некоторый
right,верно
their,их
only,только
make,делать
got,получил
try,пытаться
something,что-нибудь
room,комната
again,снова
thing,вещь
after,после
still,все еще
thought,мысль
door,дверь
here,здесь
too,слишком
little,маленький
because,потому что
why,почему
away,прочь
let,позволять
take,брать
two,два
start,начинать
good,хороший
where,где
never,никогда
through,через
day,день
much,много
tell,рассказывать
wasn't,не было
girl,девочка
feel,чувствовать
oh,ой
you're,Вы
call,вызов
talk,разговаривать
will,воля
long,длинный
than,чем
us,нас
made,сделал
friend,друг
knew,знал
open,открыть
need,необходимость
first,первый
which,который
people,люди
that's,это
went,шел
sure,конечно
seem,казаться
stop,останавливаться
voice,голос
very,очень
felt,чувствовал себя
took,взял
our,наш
pull,тянуть
laugh,смех
man,мужчина
okay,хорошо
close,закрывать
any,любой
came,пришел
told,сказал
love,любовь
watch,смотреть
arm,рука
anything,что-либо
I'll,Больной
though,хотя
put,помещать
left,левый
work,работа
guy,парень
hair,волосы
next,следующий
couldn't,не мог
yeah,ага
while,пока
mean,иметь в виду
home,дом
few,немного
saw,пила
place,место
school,школа
help,помощь
wait,ждать
late,поздно
year,год
can't,не мочь
house,дом
last,последний
always,всегда
move,двигаться
old,старый
night,ночь
nod,кивок
life,жизнь
give,давать
sit,сидеть
stare,глазеть
sat,Суббота
should,должен
moment,мгновенный
behind,позади
side,сторона
sound,звук
once,один раз
find,находить
toward,к
boy,мальчик
ever,всегда
nothing,ничего
front,передний
mother,мать
name,имя
am,являюсь
since,с
reply,отвечать
he's,Он
myself,сам
leave,оставлять
bed,кровать
new,новый
car,машина
use,использовать
mind,разум
maybe,может быть
has,имеет
heard,слышал
answer,отвечать
minute,минута
yes,да
until,до
both,оба
found,найденный
end,конец
small,маленький
I'd,Идентификатор
word,слово
someone,кто-то
same,такой же
enough,достаточно
began,начал
run,бегать
bit,кусочек
sigh,вздох
each,каждый
those,те
almost,почти
against,против
everything,все
most,большинство
thank,благодарить
wouldn't,не будет
mom,мама
better,лучше
play,играть
I've,Я
own,собственный
every,каждый
hard,жесткий
remember,помнить
three,три
stood,стоял
live,жить
stand,стоять
second,второй
sorry,извини
keep,держать
finally,окончательно
point,точка
gave,отдал
already,уже
actually,на самом деле
probably,вероятно
himself,сам
big,большой
everyone,каждый
guess,предполагать
lot,много
step,шаг
hey,привет
hear,слышать
light,свет
quickly,быстро
dad,папа
kiss,целовать
black,черный
pick,выбирать
else,еще
soon,скоро
shoulder,плечо
table,стол
best,лучший
without,без
notice,уведомление
stay,оставаться
care,Забота
phone,телефон
reach,достигать
realize,понимать
follow,следовать
decide,решать
kind,добрый
she's,она
grab,схватить
he'd,Он будет
show,показывать
suddenly,внезапно
father,отец
rest,отдых
herself,сама
grin,ухмылка
hour,час
hope,надеяться
also,также
body,тело
might,мощь
hadn't,не было
floor,пол
its,его
continue,продолжать
ran,пробег
across,через
hold,держать
cry,плакать
half,половина
pretty,симпатичный
great,большой
course,курс
mouth,рот
class,сорт
kid,ребенок
miss,скучать
wonder,удивляться
morning,утро
least,наименее
nice,хороший
dark,темный
slowly,медленно
done,сделанный
change,изменять
doesn't,не
together,вместе
yet,еще
question,вопрос
anyway,в любом случае
bad,плохой
blue,синий
believe,полагать
week,неделя
God,Бог
lip,губа
Mr.,Мистер.
sleep,спать
fine,отлично
what's,Что
family,семья
many,много
worry,волноваться
roll,рулон
parent,родительский
under,под
surprise,Сюрприз
water,вода
onto,на
we're,были
glance,взглянуть мельком
wall,стена
between,между
seen,видимый
read,читать
window,окно
idea,идея
white,белый
push,толкать
feet,ноги
must,должен
such,такой
seat,сиденье
set,набор
please,пожалуйста
red,красный
brother,брат
these,эти
whole,весь
lean,наклонять
part,часть
person,человек
slightly,немного
pass,проходить
shook,встряхнуть
fact,факт
wrong,неправильный
gone,ушел
far,далеко
hit,ударять
finger,Палец
quite,довольно
hate,ненавидеть
meet,встретиться
finish,заканчивать
heart,сердце
book,книга
past,прошлое
kill,убийство
reason,причина
anyone,любой
figure,фигура
top,вершина
along,вдоль
world,мир
she'd,сбрасывать
high,высокий
shirt,рубашка
does,делает
today,сегодня
young,молодой
held,держал
outside,снаружи
listen,слушать
whisper,шепот
won't,не будет
happy,счастливый
ground,земля
deep,глубокий
drop,уронить
shrug,пожимает плечами
dress,одеваться
fell,упал
there's,есть
yell,кричать
breath,дыхание
air,воздух
tear,рвать
sister,сестра
chair,стул
kitchen,кухня
matter,иметь значение
hurt,повредить
fall,падать
wear,носить
isn't,не
woman,женщина
eat,есть
lie,ложь
hell,ад
suppose,предполагать
cover,крышка
couple,пара
large,большой
either,или
five,пять
leg,нога
jump,Прыгать
die,умереть
return,возвращаться
able,способный
bag,сумка
alone,один
shut,закрыть
stuff,вещи
short,короткий
ready,готовый
understand,понимать
kept,сохраняется
plan,план
raise,поднимать
street,улица
different,другой
problem,проблема
break,перерыв
line,линия
early,рано
cut,резать
cold,холодный
paper,бумага
scream,крик
instead,вместо
stupid,глупый
silence,тишина
tree,дерево
caught,пойманный
ear,ухо
food,еда
full,полный
four,четыре
cause,причина
fuck,Блядь
explain,объяснять
expect,ожидать
fight,драться
exactly,точно
sort,Сортировать
completely,полностью
men,Мужчины
dance,танец
met,встретил
story,история
whatever,что бы ни
build,строить
speak,говорить
glass,стекло
pain,боль
check,проверять
glare,блики
corner,угол
Mrs.,Миссис.
chest,грудь
hot,горячий
rather,скорее
month,месяц
real,настоящий
touch,трогать
park,парк
bring,приносить
drink,напиток
ago,назад
force,сила
you've,Вы
fast,быстрый
lost,потерянный
attention,внимание
wish,желание
mark,отметка
wave,волна
shout,кричать
fill,наполнять
begin,начинать
baby,малыш
interest,интерес
money,деньги
fun,веселье
green,зеленый
however,однако
cheek,щека
mine,мой
clear,прозрачный
brown,коричневый
forward,вперед
near,около
picture,картина
may,может
cool,прохладный
drive,водить машину
hug,обнимать
shake,встряхнуть
sense,смысл
alright,хорошо
you'll,Вы будете
dream,мечтать
hang,вешать
clothes,одежда
act,действовать
become,становиться
manage,управлять
meant,имел в виду
game,игра
ignore,игнорировать
stair,лестница
taken,взятый
party,вечеринка
add,добавлять
sometimes,иногда
job,работа
ten,десять
shot,выстрелил
date,дата
quiet,тихий
gaze,посмотреть
group,группа
loud,громкий
straight,прямой
dead,мертвый
neck,шея
beside,рядом
pause,Пауза
number,число
conversation,беседа
chance,шанс
we'll,хорошо
rose,Роза
quietly,тихо
town,город
blood,кровь
color,цвет
desk,рабочий стол
dinner,ужин
hall,зал
horse,лошадь
music,музыка
brought,принес
piece,кусок
anymore,больше
beautiful,красивый
order,заказ
fire,огонь
office,офис
TRUE,истинный
although,хотя
warm,теплый
easy,легкий
enter,входить
perfect,идеальный
mutter,бормотать
softly,мягко
cross,крест
smirk,ухмыляться
damn,проклятие
stomach,желудок
snap,щелчок
spoke,говорил
tire,шина
box,коробка
catch,ловить
skin,кожа
teacher,учитель
middle,середина
note,примечание
yourself,сам
haven't,не
lunch,обед
tomorrow,завтра
breathe,дышать
clean,чистый
except,кроме
appear,появляться
lock,замок
knock,поступить
bathroom,ванная комната
movie,фильм
agree,соглашаться
offer,предложение
kick,пинать
form,форма
confuse,запутать
lay,класть
less,меньше
calm,спокойствие
slip,соскальзывать
weren't,не было
sign,знак
dog,собака
lift,поднимать
immediately,немедленно
arrive,приезжать
deal,иметь дело
tonight,сегодня вечером
usually,обычно
case,случай
frown,хмуриться
shop,магазин
scare,напугать
promise,обещать
mum,мама
couch,диван
pay,платить
state,состояние
shit,дерьмо
wrap,сворачивать
pocket,карман
hello,привет
free,бесплатно
huge,огромный
ride,поездка
bother,беспокоить
land,земля
known,известен
especially,особенно
expression,выражение
carry,нести
ring,звенеть
spot,место
allow,позволять
several,несколько
aren't,не
during,в течение
empty,пустой
lady,леди
eyebrow,бровь
strange,странный
coffee,кофе
road,дорога
threw,выбросить
wide,широкий
bus,автобус
forget,забывать
gotten,получил
fear,страх
press,нажимать
boyfriend,дружок
blonde,блондинка
throw,бросать
round,круглый
sun,солнце
tall,высокий
glad,радостный
age,возраст
write,писать
upon,на
hide,скрывать
became,стал
crowd,толпа
rain,дождь
save,сохранять
trouble,беда
annoy,раздражать
nose,нос
weird,странный
death,смерть
beat,бить
tone,тон
trip,путешествие
six,шесть
control,контроль
nearly,около
consider,учитывать
gonna,собираюсь
join,присоединиться
learn,учиться
above,выше
hi,привет
obviously,очевидно
entire,весь
direction,направление
foot,ступня
angry,злой
power,власть
strong,сильный
quick,быстрый
doctor,врач
edge,край
song,песня
asleep,спящий
twenty,двадцать
barely,едва
remain,оставаться
child,ребенок
enjoy,наслаждаться
gun,пистолет
slow,медленный
city,город
broke,сломанный
key,ключ
lead,вести
throat,горло
normal,нормальный
you'd,ты бы
somewhere,где-то
wake,будить
pair,пара
sky,небо
funny,забавный
business,бизнес
student,студент
giggle,хихикать
bright,яркий
admit,признавать
jeans,джинсы
given,данный
children,дети
store,магазин
sweet,сладкий
low,низкий
climb,взбираться
rub,натирать
apartment,квартира
knee,колено
shoe,обувь
attack,атака
bedroom,Спальня
joke,шутить
spent,потраченный
situation,ситуация
stuck,застрявший
gently,нежно
possible,возможный
cell,клетка
mention,упомянуть
silent,тихий
definitely,определенно
rush,торопиться
hung,висела
brush,щетка
perhaps,возможно
groan,стон
ass,жопа
rock,камень
card,карта
lose,терять
blush,краснеть
besides,кроме
crazy,сумасшедший
type,тип
bore,заседание
afraid,испуганный
chase,гнаться
respond,отвечать
marry,выйти замуж
remind,напоминать
pack,пакет
daughter,дочь
serious,серьезный
girlfriend,Подруга
mad,безумный
somehow,как-то
sent,отправил
tight,тугой
simply,просто
trust,доверять
imagine,представлять себе
wind,ветер
chuckle,смехотворное
bar,бар
pink,розовый
shove,засунуть
ball,мяч
sight,взгляд
drag,тащить
they'd,они будут
human,человек
truth,правда
share,делиться
area,область
concern,беспокойство
shouldn't,не должен
team,команда
escape,побег
mumble,бормотать
often,часто
search,поиск
apparently,видимо
attempt,пытаться
son,сын
within,в пределах
band,группа
cute,милый
led,вел
memory,Память
anger,злость
fly,летать
paint,краска
bottle,бутылка
busy,занятый
comment,комментарий
exclaim,воскликнуть
avoid,избегать
grow,расти
grey,серый
mirror,зеркало
gasp,задыхаться
hallway,коридор
dear,дорогой
star,звезда
sick,больной
cat,кот
counter,прилавок
interrupt,прерывать
none,никто
blink,мигание
spend,тратить
usual,обычный
worse,худший
locker,шкафчик
important,важный
favorite,любимый
grip,схватить
TV,ТВ
ice,лед
pretend,притворяться
settle,решить
amaze,удивлять
pop,поп
disappear,пропадать
carefully,осторожно
train,тренироваться
stick,палка
guard,сторожить
teeth,зубы
flash,вспышка
uncle,дядя
send,отправлять
doubt,сомневаться
visit,посещать
nervous,нервный
excite,волновать
approach,подход
excuse,извинение
fit,соответствовать
noise,шум
study,изучать
letter,письмо
police,полиция
eventually,в конце концов
burn,гореть
field,поле
hospital,больница
tie,галстук
summer,лето
huh,хм
shift,сдвиг
self,себя
hurry,торопиться
greet,приветствовать
wife,жена
position,позиция
we've,Мы
wipe,вытирать
heavy,тяжелый
slam,шлем
broken,сломанный
complete,полный
space,космос
brain,мозг
tiny,крошечный
pants,брюки
ah,ах
punch,ударить кулаком
shower,душ
tongue,язык
afternoon,после полудня
seriously,серьезно
cup,чашка
further,дальше
race,раса
recognize,распознавать
computer,компьютерный
rang,прозвенел
safe,безопасный
jacket,куртка
bottom,нижний
hundred,сотня
relax,расслабляться
sudden,внезапный
wow,ух ты
college,колледж
flip,подбросить
mood,настроение
track,отслеживать
crack,трескаться
block,блокировать
handle,ручка
themselves,сами себя
drove,проехать
seven,Семь
struggle,борьба
whether,ли
ahead,предстоящий
sad,грустный
dry,сухой
women,женщины
focus,фокус
repeat,повторить
thick,толстый
relationship,отношение
jerk,придурок
present,подарок
suck,сосать
bell,колокол
surround,окружение
evening,вечер
bite,кусать
single,одинокий
fault,вина
shadow,тень
wood,древесина
easily,легко
woke,проснулся
smoke,дымка
draw,рисовать
suggest,предлагать
wet,влажный
accept,принимать
third,третий
totally,полностью
wore,носил
breakfast,завтрак
trail,тащить
animal,животное
warn,предупреждать
aunt,тетя
sir,сэр
piss,мочи
burst,лопаться
match,соответствовать
fix,исправить
practically,практически
odd,странный
sing,петь
inch,дюйм
size,размер
secret,секрет
who's,Кто
clock,Часы
company,компания
view,вид
suit,подходить
forever,навсегда
familiar,привычный
forehead,лоб
shoot,стрелять
grew,вырос
stretch,потягиваться
pound,фунт
despite,несмотря на
response,ответ
center,центр
curl,скручивание
toss,бросать
beneath,под
fist,кулак
welcome,добро пожаловать
laughter,смех
angel,Ангел
Christmas,Рождество
we'd,обвенчались
main,основной
simple,простой
neither,ни один
distance,расстояние
comfort,комфорт
upset,расстройство
assume,предполагать
eight,восемь
gather,собирать
lucky,удачливый
fade,тускнеть
Ms.,РС.
coat,пальто
special,особенный
awkward,неуклюжий
certain,определенный
plate,тарелка
darkness,тьма
practice,упражняться
obvious,очевидный
cream,крем
choice,выбор
hardly,едва ли
pale,бледный
thin,тонкий
button,кнопка
