English,Russian
chocolate,шоколад
refuse,мусор
slid,скользкий
pillow,подушка
thirty,тридцать
count,считать
honestly,честно
poor,бедный
motion,движение
storm,буря
lightly,слегка
nobody,никто
experience,опыт
path,путь
period,период
dare,осмеливаться
demand,требовать
comfortable,комфортный
clearly,четко
silver,серебро
peer,вглядеться
birthday,день рождения
disgust,отвращение
embarrass,смущать
bought,купил
test,тест
lap,колени
bet,делать ставку
loudly,громко
driver,Водитель
murmur,шум
taste,вкус
perfectly,в совершенстве
squeeze,сжимать
board,доска
worth,ценность
fold,складывать
spread,распространение
crap,дерьмо
emotion,эмоция
subject,предмет
pour,вылить
laid,проложенный
lower,ниже
mile,миля
yea,да
page,страница
pile,куча
snow,снег
message,сообщение
English,Английский
scene,сцена
sink,раковина
fail,неудача
forgot,забыл
hole,дыра
silently,молча
heat,нагревать
weekend,выходные
drew,Дрю
guitar,гитара
sweat,пот
unless,пока не
cloud,облако
waist,талия
slap,шлепок
argue,спорить
grass,трава
idiot,идиот
screen,экран
yesterday,вчера
swear,ругаться
twin,близнец
instantly,немедленно
apart,отдельно
narrow,узкий
opposite,противоположный
blow,дуть
wrist,запястье
earth,земля
action,действие
circle,круг
forgotten,забыто
list,список
closet,шкаф
drunk,пьяный
shape,форма
yellow,желтый
twist,крутить
weight,масса
smart,умный
it'll,это будет
treat,обращаться
pool,бассейн
prepare,подготовить
awake,бодрствующий
certainly,конечно
tease,дразнить
contact,контакт
slide,горка
wonderful,замечательный
bitch,сука
reveal,раскрывать
swing,качать
truck,грузовик
anywhere,в любом месте
flower,цветок
upstairs,вверх по лестнице
hers,ее
itself,сам
wander,бродить
downstairs,вниз по лестнице
football,футбол
possibly,возможно
rip,рвать
forest,лес
mostly,по большей части
bloody,кровавый
church,церковь
gay,гей
stone,камень
husband,муж
sex,секс
trick,обманывать
yours,Ваш
growl,рычание
club,клуб
Friday,Пятница
stage,этап
include,включать
sip,глоток
invite,приглашать
sharp,острый
convince,убеждать
sheet,лист
absolutely,абсолютно
orange,апельсин
relief,облегчение
apologize,извиняться
art,искусство
he'll,ад
remove,удалять
crash,крушение
van,фургон
curse,проклинать
alive,живой
blanket,одеяло
receive,получать
tip,кончик
rise,рост
tightly,плотно
waste,напрасно тратить
bowl,чаша
fallen,упал
river,река
mama,мама
pace,шаг
honey,мед
swallow,глотать
king,король
camera,камера
deserve,заслуживать
dirty,грязный
chin,подбородок
doorway,дверной проем
image,изображение
cookie,печенье
homework,домашнее задание
hat,шапка
luck,удача
aside,в стороне
information,информация
fifteen,пятнадцать
fair,справедливый
player,игрок
monster,монстр
gate,ворота
win,победить
below,ниже
ceiling,потолок
cook,готовить
travel,путешествовать
fish,рыба
lit,горит
nervously,нервно
towel,полотенце
shiver,дрожь
final,финал
horrible,ужасный
station,станция
camp,лагерь
hungry,голодный
thousand,тысяча
evil,зло
rich,богатый
war,война
involve,вовлекать
jaw,челюсть
directly,напрямую
level,уровень
double,двойной
nine,девять
creature,существо
glow,светиться
somewhat,в некотором роде
blame,обвинять
entrance,вход
hip,бедро
fresh,свежий
hiss,шипение
normally,обычно
tap,кран
machine,машина
ruin,руина
bear,медведь
rule,правило
till,до
cock,петух
stumble,спотыкаться
complain,жаловаться
everybody,все
truly,действительно
nurse,медсестра
speed,скорость
hmm,хм
panic,паника
smooth,гладкий
weak,слабый
good-bye,до свидания
would've,был бы
extra,дополнительный
gesture,жест
scowl,хмурый
beer,пиво
release,выпускать
country,страна
careful,осторожный
create,создавать
hill,холм
snort,фырканье
flew,пролетел
heel,каблук
brow,лоб
charge,заряжать
flat,плоский
plus,плюс
switch,выключатель
whenever,в любое время
drift,дрейф
metal,металл
discover,обнаружить
wheel,колесо
skirt,юбка
pat,похлопать
ate,ел
tea,чай
hotel,Гостиница
sob,рыдание
future,будущее
record,записывать
boot,ботинок
likely,вероятный
cheer,радость
gold,золото
prove,доказывать
ha,ха
twice,дважды
aware,осведомленный
lack,недостаток
princess,принцесса
bench,лавка
cousin,двоюродный брат
detail,деталь
amount,количество
bird,птица
backward,назад
crush,раздавить
cigarette,сигарета
faint,слабый
belong,принадлежать
stranger,незнакомец
beach,пляж
load,нагрузка
everywhere,повсюду
scratch,царапать
history,история
restaurant,ресторан
event,событие
extremely,очень сильно
widen,расширять
clutch,схватить
due,должный
tug,буксир
beyond,вне
happily,К счастью
mistake,ошибка
palm,ладонь
amuse,развлекать
guest,гость
Saturday,Суббота
wooden,деревянный
worst,худший
exit,Выход
plastic,пластик
reality,реальность
wince,Винс
announce,объявить
gotta,Должен
slept,спала
she'll,оболочка
member,член
choose,выбирать
Dr.,Доктор
swim,плавать
alarm,тревога
crawl,ползти
dollar,доллар
knife,нож
magic,магия
paid,оплаченный
pizza,пицца
purse,кошелек
gift,подарок
chicken,курица
plane,самолет
choke,душить
screw,винт
protest,акция протеста
base,база
drug,лекарство
introduce,представлять
sleeve,рукав
movement,движение
loose,свободный
bare,голый
wanna,хочу
difficult,трудный
frame,рамка
spin,вращаться
fake,фальшивый
pen,ручка
understood,понял
nor,ни
unfortunately,к сожалению
written,написано
decision,решение
beg,очень прошу
heavily,тяжело
insist,настаивать
soul,душа
random,случайный
sport,спорт
male,мужской
urge,побуждать
million,миллион
yawn,зевать
backpack,рюкзак
judge,судить
startle,испуг
bunch,связка
stream,транслировать
they'll,они будут
muscle,мышца
yard,площадка
accident,несчастный случай
dragon,Дракон
sentence,предложение
fool,дурак
torn,разорванный
bow,поклон
echo,эхо
mix,смешивание
bury,хоронить
system,система
dirt,грязь
spirit,дух
leaf,лист
protect,защищать
row,ряд
forth,вперед
purple,фиолетовый
bang,хлопнуть
curious,любопытный
nearby,рядом
nowhere,нигде
collapse,крах
hop,прыгать
proud,гордый
wing,крыло
destroy,разрушать
sea,море
separate,отдельный
silly,глупый
wound,ранить
honest,честный
battle,боевой
born,рожденный
cough,кашель
mountain,гора
split,расколоть
square,квадрат
underneath,под
bike,велосипед
process,процесс
somebody,кто-нибудь
classroom,класс
presence,присутствие
whose,чей
grown,вырос
hidden,скрытый
serve,служить
female,женский
garden,сад
meal,еда
unable,не могущий
elbow,локоть
support,поддерживать
bridge,мост
reaction,реакция
skip,пропускать
wild,дикий
effect,эффект
threaten,угрожать
basically,по сути
smack,хлопать
stroke,гладить
flow,поток
moan,стон
plant,растение
impossible,невозможный
bruise,синяк
disappoint,разочаровать
energy,энергия
relieve,облегчить
confusion,путаница
wedding,свадьба
fat,толстый
bill,счет
dude,чувак
address,адрес
cast,бросать
naked,голый
toy,игрушка
math,математика
personal,личный
ship,корабль
spun,развернутый
chat,чат
pray,молиться
whip,хлыст
grasp,понять
hasn't,нет
float,плавать
fully,в полной мере
gorgeous,великолепный
indeed,действительно
nail,ноготь
vision,зрение
innocent,невиновный
friendly,дружелюбно
jealous,ревнивый
swung,развернуться
flame,пламя
dorm,общежитие
driveway,подъездная дорога
spill,проливать
gang,банда
murder,убийство
respect,уважать
bent,сгибание
tail,хвост
inform,поставить в известность
lesson,урок
whine,скучать
clench,сжимать
excitement,возбуждение
library,библиотека
lord,господин
surface,поверхность
dust,пыль
dump,свалка
feature,особенность
object,объект
weapon,оружие
calmly,спокойно
hesitate,сомневаться
hint,намекать
law,закон
magazine,журнал
among,среди
boss,босс
file,файл
leather,кожа
result,результат
thrown,брошен
toe,палец
terrible,ужасный
local,местный
project,проект
won,выиграл
radio,радио
regret,сожалеть
grumble,ворчать
otherwise,в противном случае
ridiculous,нелепый
CD,CD
lovely,прекрасный
mock,насмехаться
effort,усилие
fan,вентилятор
nerve,нерв
report,отчет
stall,ларек
elevator,лифт
mate,приятель
bastard,сволочь
grunt,ворчать
o'clock,Орт
rope,веревка
entirely,полностью
frighten,напуган
shade,оттенок
strength,сила
bone,кость
exchange,обмен
flight,полет
Monday,Понедельник
partner,партнер
plain,простой
shine,светить
cafeteria,кафетерий
beam,луч
exist,существовать
porch,порог
queen,королева
squeal,визг
faith,вера
pierce,пирс
remark,примечание
content,содержание
ease,простота
flick,щель
mall,торговый центр
cannot,не могу
carpet,ковер
length,длина
replace,заменять
duck,утка
bump,ударяться
common,общий
style,стиль
tan,загар
cake,торт
court,суд
previous,предыдущий
balance,баланс
bank,банк
blind,слепой
dangerous,опасный
particular,особый
sell,продавать
wrote,написал
distract,отвлекать
melt,таять
popular,популярный
social,Социальное
teach,учат
appearance,появление
correct,правильный
lake,озеро
public,публичный
sarcastically,саркастически
guilty,виновный
kinda,как бы
shall,должен
television,телевидение
boat,лодка
firmly,твердо
tent,палатка
thumb,большой палец
manner,манера
flush,румянец
roof,крыша
schedule,расписание
dine,пообедать
weather,погода
casually,случайно
moon,луна
difference,разница
butt,приклад
charm,шарм
feed,кормить
frustration,разочарование
gentle,нежный
hook,крюк
bounce,подпрыгивать
particularly,особенно
pleasure,удовольствие
sneak,подкрасться
leader,лидер
rage,ярость
shriek,закричать
suffer,страдать
Sunday,Воскресенье
argument,аргумент
pregnant,беременная
discuss,обсуждать
statement,заявление
ticket,билет
dig,копать
doll,кукла
chill,холод
fence,изгородь
horror,ужастик
built,построенный
cop,полицейский
security,безопасность
sidewalk,тротуар
breast,грудь
curtain,занавес
whom,кому
fifty,пятьдесят
giant,гигант
milk,молоко
recall,отзывать
term,срок
footstep,шаг
stun,оглушающий
tuck,пособие
clothing,одежда
lick,лизать
joy,радость
ugly,уродливый
hopefully,с надеждой
soldier,солдат
plead,умолять
struck,ударил
trap,ловушка
opinion,мнение
plenty,множество
tank,бак
breeze,ветер
awesome,потрясающий
desire,желание
roommate,сосед по комнате
halfway,наполовину
opportunity,возможность
outfit,одежда
rough,грубый
ain't,нет
beauty,красота
chose,выбрал
snake,змея
tape,лента
badly,плохо
cheat,изменять
daddy,папочка
roar,рев
describe,описывать
desperately,отчаянно
height,высота
thigh,бедро
tilt,наклон
deeply,глубоко
friendship,дружба
winter,зима
witch,ведьма
worn,изношенный
condition,состояние
enemy,враг
golden,золотой
sofa,диван
master,владелец
rude,грубый
throughout,через
assure,гарантировать
damage,повреждать
natural,естественный
steal,воровать
belt,пояс
cage,клетка
claim,требовать
nightmare,кошмар
prefer,предпочитать
purpose,цель
merely,просто
pin,приколоть
French,Французский
sadly,грустно
uniform,униформа
branch,ветвь
direct,прямой
hunter,Охотник
juice,сок
character,характер
pure,чистый
stain,пятно
various,различный
gain,прирост
soak,впитываться
lately,недавно
pitch,подача
accent,акцент
they've,Они
tremble,дрожь
cabin,кабина
chew,жевать
physical,физический
puzzle,головоломка
explode,взорваться
steady,устойчивый
how's,Как
pet,домашний питомец
sake,ради
compare,сравнивать
principal,главный
scan,сканирование
impress,впечатление
mentally,умственно
react,реагировать
sandwich,сэндвич
shy,застенчивый
twelve,двенадцать
whilst,пока
bullet,пуля
challenge,испытание
command,командование
examine,исследовать
film,фильм
appreciate,ценить
tense,напряженный
blank,пустой
blew,взорвали
fought,дрался
gym,спортзал
passenger,пассажир
teenager,подростка
dish,блюдо
drawn,нарисованный
scary,страшный
unlike,В отличие от
straighten,выпрямить
strain,напряжение
tune,мелодия
constantly,постоянно
famous,известный
marriage,свадьба
bound,граница
fancy,изысканный
issue,проблема
warmth,тепло
awhile,какое-то время
collect,собирать
concentrate,концентрироваться
copy,копия
disbelief,неверие
tighten,затянуть
determine,определять
favor,услуга
mental,психический
bush,куст
forgive,простить
aim,цель
embrace,объятие
fairly,весьма
froze,замерз
insult,оскорблять
option,вариант
post,почта
resist,сопротивляться
spoken,разговорный
apple,яблоко
general,общий
instant,мгновенный
jeep,джип
emerge,появляться
neighbor,сосед
pressure,давление
service,услуга
shuffle,перетасовать
briefly,вкратце
notebook,блокнот
peace,мир
string,нить
wine,вино
dash,бросаться
gut,кишечник
stress,стресс
connect,соединять
language,язык
private,частный
spring,весна
chip,чип
puppy,щенок
ache,боль
desperate,отчаянный
habit,привычка
necessary,необходимый
nope,неа
pencil,карандаш
satisfy,удовлетворять
deny,отрицать
mommy,мама
attitude,отношение
dial,набирать номер
display,отображать
frustrate,разочаровывается
it'd,это было бы
tend,иметь тенденцию
exact,точный
powerful,мощный
nature,природа
photo,Фото
total,общий
video,видео
egg,яйцо
occur,происходить
anybody,любой
corridor,коридор
gulp,глоток
trace,след
whoever,Кто бы ни был
brief,краткий
exhaust,выхлоп
pout,надутый
terrify,страшно
chapter,глава
insane,безумный
spell,заклинание
surely,конечно
tray,поднос
alcohol,алкоголь
chain,цепь
fashion,мода
garage,гараж
inquire,спрашивать
candy,конфеты
similar,похожий
bark,лаять
flirt,флиртовать
pathetic,жалкий
supply,поставлять
tower,башня
engine,двигатель
frozen,заморожен
map,карта
toilet,туалет
background,фон
shudder,вздрогнуть
spider,паук
adult,взрослый
cheap,дешевый
clue,зацепка
hazel,Хейзел
irritate,раздражать
sand,песок
quarter,четверть
spare,запасной
American,Американец
rid,избавлять
spat,ссора
pot,горшок
awful,ужасный
bleed,истекать кровью
fate,судьба
jog,бега
strike,ударять
grimace,Гримаса
holiday,праздничный день
whistle,свист
agreement,соглашение
dull,тупой
expensive,дорогой
snatch,вырвать
sometime,когда-то
ability,способность
campus,кампус
collar,воротник
disturb,беспокоить
flicker,мерцание
proceed,продолжить
recently,недавно
risk,риск
skill,навык
topic,тема
defense,защита
fry,жарить
luckily,К счастью
retort,реторт
captain,капитан
eaten,съеденный
glove,перчатка
mid,середина
owner,владелец
cheese,сыр
yank,янк
afterward,впоследствии
closely,близко
coach,тренер
feather,перо
handsome,красивый
New York,Нью-Йорк
pity,жалость
signal,сигнал
sniff,понюхать
strap,ремень
contain,содержать
survive,выживать
sweater,свитер
west,западный
drawer,ящик
leap,прыгнуть
major,главный
peek,заглядывать
suspect,подозревать
tour,тур
freeze,заморозить
heaven,небеса
mask,маска
surprisingly,как ни странно
abruptly,внезапно
begun,начал
customer,клиент
pad,прокладка
design,дизайн
flop,флоп
pride,гордость
yep,ага
interview,интервью
makeup,"макияж, мириться"
blast,взрыв
prince,принц
rode,ехал
bubble,пузырь
rent,арендовать
teen,подростка
